product_name,brand_name,images,price,product_rating,no. of ratings
Urbanwhiz Men Tan Brown Black Colour Outdoor Formal Casual Ethnic Loafer Moccasin Sandal Shoe,Emosis,"['https://images-na.ssl-images-amazon.com/images/I/51GmrxO7poL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ckGZVuaiL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51S2TSiT1-L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/418X4obwtBL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","347.00 -    1,099.00",3.7 out of 5 stars,324 customer reviews
Freedom Daisy Men's Canvas Casual Shoes Sneaker- Blue,Freedom Daisy,"['https://images-na.ssl-images-amazon.com/images/I/41oL%2Bz1xhzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41G4NHvse3L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41z8cWpSwdL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516mH8wqEnL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fZ-wo1YpL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-KwvoDc%2BL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31jbxEP9JYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",233.00 -    499.00,3.0 out of 5 stars,596 customer reviews
Acteo Men's Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/41E%2BbaQkBzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41byZFjZjdL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SJR5337-L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Ja9lpe8VL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31%2BVIguJhdL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wBGfrZ50L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31tfcW5COCL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",549.00,4.4 out of 5 stars,3 customer reviews
SHC Men's Sports Shoes Sneaker,SHC,"['https://images-na.ssl-images-amazon.com/images/I/31D-C8b2GoL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31AnfQEWzsL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31fby4zaIwL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31LAMtExzqL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",273.00 -    329.00,3.8 out of 5 stars,36 customer reviews
Puma Men's Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/41nAslC6LTL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415iksyRSaL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41n6bgsnHSL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/318zsJEDogL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31WB4DfsIuL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31LKVtGDojL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VcXh4z7DL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","1,030.00 -    2,274.00",4.7 out of 5 stars,23 customer reviews
"Maddy Men's Black, Brown and Blue Synthetic Sneaker, Loafer, Slipper & Sandal in Various Sizes Combo",Maddy,"['https://images-na.ssl-images-amazon.com/images/I/414HuUWO%2B8L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NIDLSvigL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cWFpwrwBL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41y%2BnugC%2BQL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/513-DR6fT%2BL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JpIqIEabL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51N0MIWFZUL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",699.00,3.0 out of 5 stars,248 customer reviews
Angel Fashion Lightening Sandal Clogs for Men with Free Leather Key Chain,Angel Fashion,"['https://images-na.ssl-images-amazon.com/images/I/31fYAu9pjEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gdFOd5gyL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41P2IRAx3XL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/413Z%2B6NV09L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41nELJut8VL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",205.00 -    380.00,3.5 out of 5 stars,158 customer reviews
Knoos Men's Comfort Casual Loafers,Knoos,"['https://images-na.ssl-images-amazon.com/images/I/41KJblDg%2BsL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31F1%2Bu%2B7rEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31psSeXUlRL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LOqne-6zL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",499.00,3.3 out of 5 stars,257 customer reviews
Tempo Men's Combo Pack Of 3 Synthetic Loafers Shoes - Multicolour,Tempo,"['https://images-na.ssl-images-amazon.com/images/I/41qznuo-SrL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4186f1rjurL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416MVX0hPFL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KrolPqM0L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317L58prk3L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51uDYm%2Bt5EL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41j7mhutLEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",645.00 -    649.00,3.5 out of 5 stars,"1,495 customer reviews"
Chevit Men's Combo Pack of 5 Casual Shoes (Loafers & Sneakers Shoes),Chevit,"['https://images-na.ssl-images-amazon.com/images/I/41KrnT2GQZL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31pATQbvgcL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BTTnZgDFL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51izjkX0KEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412hsWLkJBL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Je8pXV8CL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",899.00,3.9 out of 5 stars,57 customer reviews
LeeGraim Men's Synthetic Outdoor Casual Sandals,LeeGraim,"['https://images-na.ssl-images-amazon.com/images/I/41Rzump9I0L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4110ZS9kFJL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ruwH55teL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41O%2BlRRDLAL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xCMdrAfaL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JtGqw5JtL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QTPgfrffL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,3.0 out of 5 stars,194 customer reviews
Ethics Men's Pilot Blue Black Casual Loafer Shoes,ETHICS,"['https://images-na.ssl-images-amazon.com/images/I/41FV5woRpTL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31G9rKOaJGL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41csmB-CNPL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31akWNzHNlL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",210.00 -    270.00,3.5 out of 5 stars,350 customer reviews
Rockfield Men's White Sneaker's Shoes,Rockfield,"['https://images-na.ssl-images-amazon.com/images/I/41eDQGIRH7L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31EZyjB1B8L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kH1wsaZqL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LjlLLWMzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",370.00 -    499.00,3.0 out of 5 stars,396 customer reviews
Essence Men's Vc 3101 High Top Synthetic Shoes - Black,ESSENCE,"['https://images-na.ssl-images-amazon.com/images/I/41Z1UxsEhCL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41S7DNspDbL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Y4YbRno0L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41L1JGqsMzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31b71-HIY7L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/314UYwdzGzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/314UYwdzGzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",499.00,3.7 out of 5 stars,734 customer reviews
