product_name,price (INR),rating,product_page
Mode By Red Tape Women's Fashion Sandals,"1,198",4 Stars & Up,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00707951LYVUMXY5YP9E&url=%2FMode-Red-Tape-Sandals-4-MRL0168A-37%2Fdp%2FB07B69FS69%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dstilleto%2Bheels%26qid%3D1557907270%26s%3Dgateway%26sr%3D8-49-spons%26psc%3D1&qualifier=1557907270&id=1482600287962987&widgetName=sp_atf_next
DEEANNE LONDON Women's Pumps.,"2,995",3 Stars & Up,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_2?ie=UTF8&adId=A00519531TNH2CT5XU6TC&url=%2FDEEANNE-LONDON-Womens-Party-Pumps%2Fdp%2FB07J2FWGRB%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dstilleto%2Bheels%26qid%3D1557907270%26s%3Dgateway%26sr%3D8-50-spons%26psc%3D1&qualifier=1557907270&id=1482600287962987&widgetName=sp_atf_next
KOMOPT Black Colour Synthetic Material Casual/Formal Bellies for Women - Formal Belly for Girls with Low Heel,599,2 Stars & Up,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_3?ie=UTF8&adId=A02926182P2SZTX53Q1FR&url=%2FKOMOPT-Colour-Synthetic-Material-Bellies%2Fdp%2FB07J2H43CP%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dstilleto%2Bheels%26qid%3D1557907270%26s%3Dgateway%26sr%3D8-51-spons%26psc%3D1&qualifier=1557907270&id=1482600287962987&widgetName=sp_atf_next
AUTHENTIC VOGUE Women's Heel Slip On,399,1 Star & Up,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_4?ie=UTF8&adId=A01168883CLLVM49E5AD3&url=%2FAuthentic-Womens-Copper-Fashion-Sandal%2Fdp%2FB014G69R1Q%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dstilleto%2Bheels%26qid%3D1557907270%26s%3Dgateway%26sr%3D8-52-spons%26psc%3D1&qualifier=1557907270&id=1482600287962987&widgetName=sp_atf_next
Stiletto Heels : Flairosol Spray Bottle Stylist Stilleto Heels,999,3.8 out of 5 stars,amazon.in/Stiletto-Heels-Flairosol-Stylist-Stilleto/dp/B07QGMPJNB/ref=sr_1_53?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-53
Easy Street Women's Passion Dress Pump,599,3.8 out of 5 stars,amazon.in/Easy-Street-Passion-Womens-Red-Patent/dp/B00R6EGFTI/ref=sr_1_54?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-54
Generic Fondant Cake 3D Stilleto Silicone Lady High Heel Shoe Pattern For Wedding Cake Decoration,"2,199",4.1 out of 5 stars,amazon.in/Generic-Fondant-Stilleto-Silicone-Decoration/dp/B0741FBHQ1/ref=sr_1_55?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-55
Rockport Women's Cobb Hill Revchi,"2,976",1.9 out of 5 stars,amazon.in/Cobb-Hill-CBJ05GR-RevChi/dp/B00B9GPADG/ref=sr_1_56?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-56
Carlos by Carlos Santana Women's Finley Dress Sandal,"3,720",3.9 out of 5 stars,amazon.in/Carlos-Santana-Womens-Finley-Natural/dp/B00U176O3E/ref=sr_1_57?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-57
Caparros Women's Nixie Dress Sandal,"2,744",3.1 out of 5 stars,amazon.in/Caparros-Womens-Nixie-Dress-Sandal/dp/B016WQUQI6/ref=sr_1_58?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-58
Nickelodeon Dora The Explorer Scuff W Heart and Strap Sneaker (Toddler),"3,556",3.0 out of 5 stars,amazon.in/Nickelodeon-Dora-Scuff-Heart-Strap/dp/B00GZJITRQ/ref=sr_1_59?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-59
Kenneth Cole New York Women's Berry Floral Ankle-Laceup Stilleto Dress Sandal Heeled,"6,223",2.5 out of 5 stars,amazon.in/Kenneth-Cole-New-York-Ankle-Laceup/dp/B079ZXV6XR/ref=sr_1_60?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-60
